Title,Price,Suburb,Address,City,Bedrooms,Bathrooms,Parking,Size,URL,Agent
Rothchild    Development in Princess AH,500000550000,,,Gauteng,,,,72 m²,https://www.property24.com/new-developments-for-sale/princess-ah/roodepoort/gauteng/rothchild/649/5300,
2 Bedroom Apartment,700000,Boundary Park,488 Boundary Rd,Gauteng,2.0,1.0,1.0,56 m²,https://www.property24.com/for-sale/boundary-park/randburg/gauteng/33215/116041249,Estate Agency profile for Hamptons Realty Group
1 Bedroom Apartment,675000,Northwold,"17 Ss Candice Glades, 14 Maple Drive",Gauteng,1.0,1.0,1.0,70 m²,https://www.property24.com/for-sale/northwold/randburg/gauteng/4282/116052957,Estate Agency profile for RE/MAX Evolve
2 Bedroom Apartment,560000,Wilgeheuwel,,Gauteng,2.0,1.0,2.0,67 m²,https://www.property24.com/for-sale/wilgeheuwel/roodepoort/gauteng/837/115974256?plId=2032146&plt=4,Estate Agency profile for EXP South Africa
2 Bedroom Apartment,520000,Krugersdorp North,"76 Ss Jerling's Place, 188 De Wet Street",Gauteng,2.0,1.0,3.0,74 m²,https://www.property24.com/for-sale/krugersdorp-north/krugersdorp/gauteng/913/116037455,Estate Agency profile for RE/MAX Town and Country
2 Bedroom Apartment,500000,Discovery,720 Roworth Place,Gauteng,2.0,1.0,,72 m²,https://www.property24.com/for-sale/discovery/roodepoort/gauteng/671/116038828,
1 Bedroom Apartment,440000,Weltevreden Park,"Monte Carlo, 873 Kloofhout Avenue",Gauteng,1.0,1.0,1.0,44 m²,https://www.property24.com/for-sale/weltevreden-park/roodepoort/gauteng/1593/116033242,Estate Agency profile for RE/MAX 2000 - Florida
2 Bedroom Apartment,590000,Florida Glen,31a Gordon Road,Gauteng,2.0,1.0,,64 m²,https://www.property24.com/for-sale/florida-glen/roodepoort/gauteng/1659/116037040,Estate Agency profile for Rawson Properties Northcliff
2 Bedroom Apartment,380000,Windsor East,72 Earls Avenue,Gauteng,2.0,1.0,2.0,80 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/116000250,Estate Agency profile for Rawson Properties Northcliff
2 Bedroom House,630000,Georginia,27 Tornado Crescent,Gauteng,2.0,1.0,3.0,245 m²,https://www.property24.com/for-sale/georginia/roodepoort/gauteng/676/116060033,Estate Agency profile for RE/MAX 2000 - Florida
1 Bedroom Apartment,599000,Ferndale,"1 Brushwood Complex, 550 West Avenue",Gauteng,1.0,1.0,1.0,53 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/115990103,Estate Agency profile for RE/MAX Masters  - Weltevreden Park
2 Bedroom Apartment,590000,Florida Glen,31a Gordon Road,Gauteng,2.0,1.0,,64 m²,https://www.property24.com/for-sale/florida-glen/roodepoort/gauteng/1659/115955275,Estate Agency profile for Rawson Properties Northcliff
1 Bedroom Apartment,390000,Northcliff,"58a Ss Villa Barcelona, 69 Johannes Road",Gauteng,1.0,1.0,1.0,56 m²,https://www.property24.com/for-sale/northcliff/randburg/gauteng/5783/116052437,Estate Agency profile for EZI Properties
2 Bedroom Apartment,620000,Wilro Park,20 Doring Rd,Gauteng,2.0,1.0,1.0,54 m²,https://www.property24.com/for-sale/wilro-park/roodepoort/gauteng/800/116034847,Estate Agency profile for Hamptons Realty Group
2 Bedroom Apartment,699000,North Riding,19 Autumn Acres 15 Mustang Close,Gauteng,2.0,2.0,1.0,75 m²,https://www.property24.com/for-sale/north-riding/randburg/gauteng/4455/116063045,
2 Bedroom Apartment,410000,Windsor East,51 Duchesses Avenue,Gauteng,2.0,1.0,1.0,90 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/116063210,Estate Agency profile for Segoale Properties
2 Bedroom Apartment,680000,Witpoortjie,"124 Mikkadesh, 59 Quellerie Street",Gauteng,2.0,1.0,1.0,53 m²,https://www.property24.com/for-sale/witpoortjie/roodepoort/gauteng/813/116023084,
1 Bedroom Apartment,540000,Jackal Creek Golf Estate,"88 Ss Shinnecock, 00 Null Null",Gauteng,1.0,1.0,1.0,51 m²,https://www.property24.com/for-sale/jackal-creek-golf-estate/randburg/gauteng/12986/116025833,Estate Agency profile for Seeff Randburg
Wilfordon    Development in Wilfordon,479950999683,,,Gauteng,,,,,https://www.property24.com/new-developments-for-sale/wilfordon/roodepoort/gauteng/wilfordon/33392/3072,
2 Bedroom Apartment,700000,Die Hoewes,20 Wren,Gauteng,2.0,1.0,2.0,85 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/116038867,Estate Agency profile for Keller Williams Action
2 Bedroom Apartment,450000,Windsor East,54 Dukes Avenue,Gauteng,2.0,1.0,1.0,90 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/116055912,Estate Agency profile for Segoale Properties
2 Bedroom Apartment,490000,Windsor East,57 Viscounts Avenue,Gauteng,2.0,1.0,2.0,95 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/116015101,Estate Agency profile for Rawson Properties Northcliff
1 Bedroom Apartment,599950,Constantia Kloof,"Monte Castello, 837 Jim Fouche Road",Gauteng,1.0,1.0,1.0,59 m²,https://www.property24.com/for-sale/constantia-kloof/roodepoort/gauteng/1573/116027351,Estate Agency profile for RE/MAX Evolve
